Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
9/30/19,370.5,,345,358,341,9.06,23,103,46.4,26.9,49.8,37.6
9/27/19,362.25,398.75,337,349.75,333.25,8.83,18,105,46.1,27.0,49.3,37.3
9/26/19,364.5,399,340.5,352.75,335.75,8.89,18,109,46.2,27.3,49.5,37.4
9/25/19,362,402,339.25,351.25,334.25,8.89,18,104,46.8,27.8,50.2,38.0
9/24/19,364.5,400.25,341.75,354.5,337,8.94,19,99,48.0,28.3,51.6,39.1
9/23/19,366.25,401,340.25,359.75,335.5,8.93,16,104,48.6,28.4,52.3,39.7
9/20/19,363.5,405,336.5,356,331.5,8.83,15,110,48.6,28.8,52.2,39.6
9/19/19,366.75,401.5,340,359.25,334.75,8.93,14,111,49.1,29.5,52.8,40.1
9/18/19,362.25,398.75,338,357.5,332.5,8.89,14,105,50.2,29.1,54.1,41.2
9/17/19,363.75,400.25,339.5,359,333.75,8.94,16,111,49.9,29.0,53.7,40.9
9/16/19,366,399.5,341,360.5,335.5,9.00,15,119,48.6,28.8,52.1,39.6
9/13/19,368.25,398.75,338.5,360.75,336.25,8.99,13,86,47.8,28.7,51.0,38.7
9/12/19,368.25,402.25,337.25,346.25,335,8.96,14,88,48.1,28.6,51.4,39.0
9/11/19,358.5,405,326.25,336.5,323.75,8.67,11,77,48.4,28.8,51.9,39.4
9/10/19,366.75,401.25,328.75,339.25,326.25,8.72,12,137,48.7,28.7,52.2,39.7
9/9/19,360.75,401.25,323.75,334,322.5,8.58,11,138,48.0,28.7,51.2,38.9
9/6/19,364.25,406.5,325.5,340.25,323.75,8.58,21,133,48.3,28.8,51.6,39.2
9/5/19,366,412.25,326.25,339.25,324,8.62,15,138,48.0,29.0,51.1,38.8
9/4/19,367.75,410.5,331.75,341,327.75,8.76,20,135,47.8,28.9,50.9,38.7
