Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
9/28/18,415.25,448,329.5,336.25,322,8.46,25,259,44.9,25.6,48.2,38.7
9/27/18,407.75,441,313.5,325.25,312,8.55,5,284,44.7,25.6,48.0,38.5
9/26/18,412,445,317,330,316,8.50,4,265,44.4,25.4,47.6,38.2
9/25/18,407.75,441,313.75,325.5,312,8.46,2,271,43.8,25.0,46.9,37.6
9/24/18,406.5,439.5,310.5,324,310.5,8.41,-6,247,43.1,24.7,46.1,37.1
9/21/18,406,439.25,310,323.75,310,8.47,-6,268,42.7,24.5,45.7,36.4
9/20/18,406.5,438.5,309.5,323,309.75,8.50,-9,261,42.2,24.3,45.1,36.1
9/19/18,405,438,315,324.5,310.75,8.30,-7,276,42.1,24.2,45.0,35.8
9/18/18,403.75,436,310.5,319.75,305,8.14,-10,275,42.2,24.2,45.1,35.7
9/17/18,396.5,429.75,307.25,313.5,298.75,8.24,-5,272,42.2,24.2,45.1,35.9
9/14/18,399.5,430.75,312,320,303.5,8.31,-8,265,42.3,24.4,45.2,36.0
9/13/18,399.5,432.5,315.5,324,306,8.33,-5,253,42.4,24.6,45.4,36.3
9/12/18,401.25,431.5,317.5,325.5,307.75,8.40,-6,262,42.6,24.6,45.5,36.4
9/11/18,403.75,435.5,316.75,325.25,308,8.32,-5,253,42.6,24.6,45.5,36.4
9/10/18,401.5,433.5,316.5,325,308.5,8.45,-3,246,42.3,24.5,45.2,36.1
9/7/18,406,438.75,322.5,330.25,312.25,8.44,-5,#N/A,42.3,24.5,45.2,35.9
9/6/18,,,321.25,327.5,310.75,8.39,-5,244,42.5,24.4,45.4,36.0
9/5/18,397.25,432.25,320.75,327,310.75,8.38,11,241,42.6,24.6,45.6,36.1
9/4/18,395,429,322,326.75,315.75,8.44,25,230,42.8,24.7,45.8,36.6
8/31/18,396.75,430.75,319,328.5,315.25,8.44,31,214,43.4,25.1,46.5,36.9
8/30/18,384.75,419.75,317.5,329.25,308,8.32,31,212,43.7,25.3,46.8,37.5
8/29/18,379.5,414.5,313.5,327.5,304.5,8.36,28,209,43.9,25.2,47.1,37.7
8/28/18,381.75,416.75,318.25,334.75,307.5,8.33,20,198,44.0,25.3,47.1,37.7
8/24/18,374,409,316.25,333,305.75,8.55,10,181,43.6,25.2,46.6,37.3
8/23/18,376.75,411.75,325.25,353.5,312,8.54,12,173,43.2,24.9,46.2,36.9
8/22/18,381,416,327.5,355.75,314.5,8.70,16,181,42.5,24.4,45.4,36.3
8/21/18,388.75,423.75,336.5,351,323,8.86,25,193,42.2,24.2,45.1,35.9
8/20/18,397.5,432.5,342.5,355.25,328.75,8.93,25,214,42.0,24.1,44.8,35.7
